"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
129,Why is it crucial to sanitize and validate any data received via IPC from a renderer process in the main process?,Renderer processes can be compromised and untrusted data could lead to security vulnerabilities in the main process.,IPC only transmits strings which need to be parsed.,It is only necessary for performance optimization.,Data validation is automatically handled by Electron's IPC.,20,1,,,,,,,,,,,,,,,,,,
130,What is the purpose of the channel argument in IPC methods like ipcRenderer.send(channel ...args)?,To categorize and distinguish different types of messages being sent between processes.,To specify the target renderer process ID.,To define the encryption method for the message.,To indicate the priority of the message.,20,1,,,,,,,,,,,,,,,,,,
131,Can IPC be used to send custom JavaScript objects (e.g. instances of classes) between processes directly?,Yes if they are serializable by the Structured Clone Algorithm; otherwise only their plain data will be sent.,No only primitive data types can be sent.,Yes but only if they are JSON serializable.,Only if you use contextBridge to expose them.,20,1,,,,,,,,,,,,,,,,,,
132,What is a common pattern for main-to-renderer communication when the main process needs to update UI based on a system event?,Main process listens for a system event then uses webContents.send() to notify relevant renderer processes.,Main process directly manipulates the DOM of the renderer.,Renderer processes constantly poll the main process for updates.,Main process uses a shared file to communicate state.,20,1,,,,,,,,,,,,,,,,,,
133,Which best practice helps prevent memory leaks related to IPC listeners?,Remove ipcMain.on and ipcRenderer.on listeners when they are no longer needed (e.g. when a window closes).,Always use ipcRenderer.invoke instead of ipcRenderer.send.,Limit the number of messages sent over IPC.,Keep all IPC listeners in a single large function.,20,1,,,,,,,,,,,,,,,,,,
134,What happens if ipcRenderer.invoke() is called but there is no ipcMain.handle() listener for that channel in the main process?,The Promise returned by invoke() will reject.,The application will crash.,The message will be silently dropped.,The main process will automatically create a default handler.,20,1,,,,,,,,,,,,,,,,,,
135,How would you ensure that an API exposed via contextBridge is read-only from the renderer?,By exposing methods that return data but do not allow modification of the main process state directly.,By setting a readOnly flag in exposeInMainWorld.,By using Object.freeze() on the exposed object in the renderer.,It's not possible; contextBridge inherently allows read/write.,20,1,,,,,,,,,,,,,,,,,,
136,What is a disadvantage of using synchronous IPC (ipcRenderer.sendSync())?,It can make the UI unresponsive and degrade user experience.,It is less secure than asynchronous IPC.,It uses more system resources.,It is difficult to debug.,20,1,,,,,,,,,,,,,,,,,,
137,When using ipcMain.handle() what value does the handler function return to the renderer?,A Promise that resolves with the return value of the handler function.,A plain object directly.,A callback function that the renderer can execute.,The IpcMainInvokeEvent object itself.,20,1,,,,,,,,,,,,,,,,,,
138,To target a specific BrowserWindow from the main process to send an IPC message what information do you need?,The WebContents object associated with that BrowserWindow.,The BrowserWindow ID.,The URL loaded in the window.,The window's title.,20,1,,,,,,,,,,,,,,,,,,
139,What is the purpose of ipcMain.removeHandler(channel)?,To unregister a handler for a specific IPC channel preventing further invoke calls from being handled.,To stop a currently ongoing IPC communication.,To remove all ipcMain.on listeners for a channel.,To delete the channel itself.,20,1,,,,,,,,,,,,,,,,,,
140,Which IpcMainEvent property contains the arguments passed from the renderer?,event.args,event.data,event.payload,event.message,20,1,,,,,,,,,,,,,,,,,,
141,When developing a multi-window Electron application how can the main process distinguish which renderer sent an IPC message?,By using event.sender (which is the WebContents object) and then linking it to its parent BrowserWindow.,Each renderer sends a unique ID in the message payload.,Electron automatically groups messages by window.,It's not possible to distinguish senders reliably.,20,1,,,,,,,,,,,,,,,,,,
142,What is the maximum amount of data that can be transferred via IPC?,There isn't a strict hard limit but very large data transfers are inefficient and may lead to performance issues.,1MB per message.,100KB per message.,Limited only by available RAM.,20,1,,,,,,,,,,,,,,,,,,
143,How can you mock IPC calls for testing renderer processes without a full Electron main process?,By providing a mock ipcRenderer object that simulates responses often within a testing framework.,It's not possible to test renderer IPC without the main process.,Electron provides a built-in mocking utility for IPC.,By manually calling the main process code in the test environment.,20,1,,,,,,,,,,,,,,,,,,
144,What could be a reason to prefer asynchronous IPC over synchronous IPC?,To keep the UI responsive and avoid blocking the main thread of either process.,Asynchronous IPC is simpler to implement.,Asynchronous IPC has better error handling.,Synchronous IPC is inherently insecure.,20,1,,,,,,,,,,,,,,,,,,
145,If you need to send a message to *all* renderer processes from the main process how would you approach this?,Iterate through all open BrowserWindow instances and call win.webContents.send() on each.,There is a global ipcMain.sendToAll() method.,By emitting a special app event that all renderers listen to.,It's not supported by Electron's IPC.,20,1,,,,,,,,,,,,,,,,,,
146,What security concern is mitigated by avoiding the remote module and preferring contextBridge for IPC?,It prevents direct exposure of Node.js APIs and main process objects to potentially untrusted renderer code.,It prevents network attacks on the renderer process.,It reduces the application's memory footprint.,It ensures that all IPC messages are encrypted.,20,1,,,,,,,,,,,,,,,,,,
147,How can you ensure that an IPC channel is only listened to once?,By using ipcMain.once() or ipcRenderer.once().,By manually removing the listener after the first message.,By setting a once: true option on ipcMain.on.,Electron channels are inherently single-use.,20,1,,,,,,,,,,,,,,,,,,
148,Which event on BrowserWindow is useful for cleaning up IPC listeners specific to that window?,'closed','close','destroy','leave',20,1,,,,,,,,,,,,,,,,,,
149,Which tool is commonly used to package Electron applications for distribution?,electron-builder,npm pack,electron-forge (though it can use electron-builder),webpack,20,1,,,,,,,,,,,,,,,,,,
150,What configuration file is primarily used by electron-builder to define packaging options?,package.json,builder.json,electron-config.js,app.json,20,1,,,,,,,,,,,,,,,,,,
151,What is a key benefit of using electron-builder for packaging?,It provides cross-platform packaging for Windows macOS and Linux from a single codebase.,It automatically fixes all application bugs.,It generates obfuscated code for security.,It handles all application updates automatically.,20,1,,,,,,,,,,,,,,,,,,
152,Which package.json property typically holds electron-builder specific configuration?,build,electron,builder,config,20,1,,,,,,,,,,,,,,,,,,
153,What is 'code signing' primarily used for in application distribution?,To verify the authenticity and integrity of an application assuring users it hasn't been tampered with.,To encrypt the application's source code.,To reduce the application's file size.,To provide a license key for the application.,20,1,,,,,,,,,,,,,,,,,,
154,Which of the following is a common installer type generated by electron-builder for macOS?,DMG (Disk Image),MSI (Microsoft Installer),DEB (Debian package),RPM (Red Hat Package Manager),20,1,,,,,,,,,,,,,,,,,,
155,What is electron-updater primarily used for?,To implement automatic application updates.,To update Electron's core dependencies.,To update the application's UI components.,To update the operating system.,20,1,,,,,,,,,,,,,,,,,,
156,What is the purpose of macOS 'Notarization' for Electron applications?,To assure users that the application has been checked by Apple for malicious components.,To encrypt the application bundle.,To automatically publish the app to the Mac App Store.,To optimize app performance on macOS.,20,1,,,,,,,,,,,,,,,,,,
157,Which electron-builder target is typically used for Windows installations?,nsis (Nullsoft Scriptable Install System) for .exe installers or msi.,dmg,appimage,deb,20,1,,,,,,,,,,,,,,,,,,
158,What is a common method for distributing Electron application updates using electron-updater?,GitHub Releases (or a custom update server).,Email attachments.,USB drives.,Manual downloads from a web page only.,20,1,,,,,,,,,,,,,,,,,,
159,When debugging a packaged Electron application what are some common challenges?,Accessing developer tools logging and source maps may be more difficult than in development mode.,Packaged apps automatically launch DevTools.,Debugging packaged apps is identical to debugging in development.,Packaged apps are always bug-free.,20,1,,,,,,,,,,,,,,,,,,
160,What does app.getPath('appData') return after an application is installed?,The path to the user's application data directory specific to the OS.,The path where the application's executable is located.,The path to the user's documents folder.,The path to the Electron framework installation.,20,1,,,,,,,,,,,,,,,,,,
161,What is electron-builder's files option used for?,To specify which files and directories from your project should be included in the packaged application.,To define the icons for your application.,To list all external dependencies.,To specify temporary files for the build process.,20,1,,,,,,,,,,,,,,,,,,
162,How do you specify the application icon for different operating systems in electron-builder?,By defining icon properties within the build configuration pointing to .icns .ico and .png files.,Electron automatically generates icons from the main executable.,You can only have one generic icon for all platforms.,Icons are specified in the BrowserWindow constructor.,20,1,,,,,,,,,,,,,,,,,,
163,What is the role of publisherName in electron-builder's Windows configuration?,It specifies the publisher name for the installer used for code signing and displayed in app properties.,It defines the company name for internal use only.,It is ignored unless building for the Microsoft Store.,It sets the name of the executable file.,20,1,,,,,,,,,,,,,,,,,,
164,Which property in package.json specifies the version of your application that electron-builder uses?,version,appVersion,buildVersion,release,20,1,,,,,,,,,,,,,,,,,,
165,What type of package is commonly used for Linux distributions like Debian/Ubuntu by electron-builder?,DEB (Debian package),RPM,APK,EXE,20,1,,,,,,,,,,,,,,,,,,
166,When configuring electron-updater what is a common URL for updates hosted on GitHub Releases?,https://github.com/owner/repo (or specific API endpoint),file:///local/path/to/updates,ftp://update.server.com,http://localhost:8080/updates,20,1,,,,,,,,,,,,,,,,,,
167,What is a 'snapshot' in the context of electron-builder?,A pre-built Electron executable that electron-builder uses as a base for your application.,A screenshot of your application.,A backup of your project files.,A temporary file generated during the build process.,20,1,,,,,,,,,,,,,,,,,,
168,What is electron-builder's asar option used for?,To package the application's source code into an ASAR archive for performance and security.,To automatically sign the application.,To compress the application's assets.,To convert the application to a web server.,20,1,,,,,,,,,,,,,,,,,,
169,When deploying an Electron app what is the significance of the productName in package.json?,It defines the human-friendly name of your application used in installers menus and taskbars.,It's the name of the executable file.,It's the npm package name.,It's an internal project identifier.,20,1,,,,,,,,,,,,,,,,,,
170,What is the recommended way to handle sensitive configuration (e.g. API keys for update server) during the build process?,Use environment variables or a separate configuration file that is not committed to version control.,Hardcode them directly into the source code.,Embed them in the package.json file.,Store them in a publicly accessible cloud storage.,20,1,,,,,,,,,,,,,,,,,,
171,What is the primary role of electron-build command?,To build and package the Electron application according to the electron-builder configuration.,To start the Electron development server.,To install Electron dependencies.,To test the application's UI.,20,1,,,,,,,,,,,,,,,,,,
172,If you need to include platform-specific assets (e.g. different icons for Windows and macOS) how can electron-builder handle this?,By specifying platform-specific icon paths in the build configuration or using platform-specific folders.,Electron-builder automatically detects OS and uses correct assets.,You must create separate package.json files for each platform.,It's not possible to have platform-specific assets.,20,1,,,,,,,,,,,,,,,,,,
173,What is the purpose of app.setAppUserModelId() on Windows?,To uniquely identify the application for features like pinning to the taskbar and grouping windows.,To set the user's login ID for the application.,To define the application's security permissions.,To register the application with the Windows Store.,20,1,,,,,,,,,,,,,,,,,,
174,Which electron-builder option is used to customize the installer splash screen or background image?,installerIcon or installerHeader for NSIS and other platform-specific options.,splashScreen.png,customInstallerUI,build.ui,20,1,,,,,,,,,,,,,,,,,,
175,What is a release server's responsibility when working with electron-updater?,To host the update files (e.g. .dmg .exe) and a latest.yml (or similar) file that describes the latest version.,To perform the actual application update installation on the client.,To sign the application code.,To debug update issues on the client side.,20,1,,,,,,,,,,,,,,,,,,
176,How do you handle post-installation tasks (e.g. creating desktop shortcuts) with electron-builder?,electron-builder's target configurations (e.g. NSIS) offer options for custom scripts or actions.,Electron applications run a post-install script automatically.,You manually instruct users on how to create shortcuts.,It's not possible to customize post-installation tasks.,20,1,,,,,,,,,,,,,,,,,,
177,What can cause electron-updater to fail in checking for updates?,Incorrect update server URL network connectivity issues invalid latest.yml file or corrupted application signature.,The user's wallpaper is too dark.,The application has too many open windows.,The Electron app is using a dark theme.,20,1,,,,,,,,,,,,,,,,,,
178,What is a common strategy for testing automatic updates?,Set up a local update server or a test GitHub repository and point electron-updater to it.,Publish every update to production immediately.,Manually download and install new versions.,It's not possible to test updates locally.,20,1,,,,,,,,,,,,,,,,,,
179,Which tool integrates with electron-builder to streamline the release process including GitHub Releases?,electron-release (or electron-builder's own release functionality).,npm publish,git push,jenkins,20,1,,,,,,,,,,,,,,,,,,
180,What is the impact of using AppImage for Linux distribution?,It creates a single executable file that runs on most Linux distributions without installation.,It installs the application system-wide like a DEB package.,It is only compatible with specific Linux versions.,It requires an internet connection to run.,20,1,,,,,,,,,,,,,,,,,,
181,Why is contextIsolation enabled by default in modern Electron versions?,To prevent the renderer's JavaScript from directly accessing Node.js APIs or objects exposed by the preload script.,To isolate CSS styles between different UI components.,To improve the performance of web content loading.,To ensure consistent behavior across all operating systems.,20,1,,,,,,,,,,,,,,,,,,
182,What is the recommended setting for nodeIntegration in renderer processes especially when loading untrusted content?,false,true,'sandbox','hybrid',20,1,,,,,,,,,,,,,,,,,,
183,What is the purpose of Content Security Policy (CSP) in an Electron application?,To mitigate cross-site scripting (XSS) attacks by specifying allowed sources for content.,To encrypt all network traffic.,To restrict access to the local file system.,To prevent the main process from crashing.,20,1,,,,,,,,,,,,,,,,,,
184,How should untrusted content (e.g. user-generated HTML external websites) be handled in an Electron renderer?,By displaying it in a BrowserWindow with nodeIntegration and contextIsolation disabled and preferably sandbox enabled.,Directly inject it into the main BrowserWindow with full Node.js access.,Always sanitize it using a custom script before displaying.,Trust Electron's default security to handle any content.,20,1,,,,,,,,,,,,,,,,,,
185,Why is it recommended to restrict or avoid the deprecated remote module?,It exposes main process objects and methods directly to the renderer creating a large attack surface.,It causes performance bottlenecks in the renderer.,It is incompatible with modern JavaScript frameworks.,It is only available on specific operating systems.,20,1,,,,,,,,,,,,,,,,,,
186,When an Electron app needs to open an external link clicked by the user which module should be used to open it in the default system browser?,shell.openExternal(),window.open() (in renderer),BrowserWindow.loadURL(),app.openExternal(),20,1,,,,,,,,,,,,,,,,,,
187,What is the secure pattern for exposing an API from the main process to the renderer?,Using a preload script with contextBridge.exposeInMainWorld().,Assigning main process objects directly to global.window in the preload script.,Creating global variables in the main process that renderers can access.,Using ipcRenderer.sendSync() for all API calls.,20,1,,,,,,,,,,,,,,,,,,
188,What is a general principle for minimizing an Electron application's attack surface?,Disable or restrict all unnecessary features modules and permissions.,Enable all features to provide maximum functionality.,Use a single main process and no renderer processes.,Avoid using any external dependencies.,20,1,,,,,,,,,,,,,,,,,,
189,Why is it important to regularly update Electron and its dependencies?,To incorporate security patches bug fixes and performance improvements.,To gain access to new UI features only.,Updates typically increase application size.,It's only necessary for major version changes.,20,1,,,,,,,,,,,,,,,,,,
190,What is one way to prevent Cross-Site Scripting (XSS) in an Electron renderer process?,Implement a strict Content Security Policy (CSP).,Disabling contextIsolation.,Enabling nodeIntegration.,Loading all content from untrusted sources.,20,1,,,,,,,,,,,,,,,,,,
191,If your Electron app needs to execute an external executable how should this be done securely from the main process?,Using child_process.execFile() with strict validation of arguments and paths.,Directly using child_process.exec() with user-provided commands.,Allowing the renderer to use child_process directly.,It's generally advised to avoid executing external processes.,20,1,,,,,,,,,,,,,,,,,,
192,What is the purpose of webPreferences.sandbox: true for a BrowserWindow?,To enable Chromium's sandboxing providing an additional layer of security for the renderer process.,To run the renderer process in a separate virtual machine.,To isolate the application from the operating system entirely.,To make the renderer process unable to communicate with the main process.,20,1,,,,,,,,,,,,,,,,,,
193,Which security measure prevents a BrowserWindow from loading arbitrary external content?,Implementing a strong Content Security Policy (CSP) and carefully validating URLs.,Setting nodeIntegration: false.,Disabling contextIsolation.,Always using synchronous IPC.,20,1,,,,,,,,,,,,,,,,,,
194,What is a common vulnerability if nodeIntegration is enabled in an Electron renderer process?,Ability for web content to directly interact with Node.js APIs potentially executing arbitrary code on the user's system.,Slowdowns in UI rendering performance.,Cross-origin resource sharing (CORS) issues.,The inability to use web-based animations.,20,1,,,,,,,,,,,,,,,,,,
195,How should you store sensitive user data (e.g. API tokens passwords) in an Electron application?,Using a secure key-value store like electron-store combined with OS-level credential managers.,Directly in localStorage.,In plain text files on the user's file system.,Hardcoded within the application's source code.,20,1,,,,,,,,,,,,,,,,,,
196,Why is input validation critical for data passed over IPC?,Untrusted input can lead to various vulnerabilities (e.g. arbitrary file access command injection) if not properly sanitized.,It improves the performance of IPC communication.,It prevents network latency.,It ensures data types are automatically converted.,20,1,,,,,,,,,,,,,,,,,,
197,What is the risk of using webPreferences.allowRunningInsecureContent: true?,It allows a renderer loaded over HTTPS to load content from insecure HTTP sources making it vulnerable to MITM attacks.,It disables contextIsolation.,It makes all BrowserWindow instances invisible.,It blocks all network requests from the renderer.,20,1,,,,,,,,,,,,,,,,,,
198,How can you protect your Electron app against common web vulnerabilities like SQL injection if it interacts with a local Node.js backend?,By using parameterized queries or prepared statements for all database interactions.,By disabling JavaScript in the renderer.,By solely relying on client-side input validation.,By restricting the app to only local URLs.,20,1,,,,,,,,,,,,,,,,,,
199,What is the primary benefit of contextBridge.exposeInMainWorld() over simply adding properties to window in a preload script (without context isolation)?,It creates a secure isolated bridge between the preload script's context and the renderer's window object.,It allows direct access to Node.js modules from the renderer.,It improves the performance of exposed APIs.,It makes the exposed APIs available only to trusted domains.,20,1,,,,,,,,,,,,,,,,,,
200,If your Electron application serves a local HTTP server what security considerations apply?,Ensure that the server only listens on localhost and that its endpoints are properly secured against external access.,Local servers are inherently secure and require no extra precautions.,Only HTTPS connections are allowed for local servers.,The server must run in a separate Electron main process.,20,1,,,,,,,,,,,,,,,,,,
201,What should be done when an external resource (e.g. an image or script) is loaded from an untrusted URL in the renderer?,Ensure a strict Content Security Policy (CSP) is in place and nodeIntegration and contextIsolation are properly configured.,Electron automatically blocks all untrusted external resources.,The external resource inherits the main process's permissions.,It's generally safe as long as it's an image.,20,1,,,,,,,,,,,,,,,,,,
202,Which webPreferences option when false helps prevent local file system access by the renderer process?,nodeIntegration,contextIsolation,webSecurity,sandbox,20,1,,,,,,,,,,,,,,,,,,
203,What is the security implication of using allowPopups: true without proper handling?,It allows the renderer process to open new BrowserWindow instances that might not inherit the same security settings.,It blocks all new windows from opening.,It makes the application run slower.,It's purely a UI preference with no security implications.,20,1,,,,,,,,,,,,,,,,,,
204,When handling user-provided file paths in the main process what is a crucial security step?,Sanitize and validate paths and ideally restrict operations to a known safe directory.,Trust all user-provided paths implicitly.,Automatically resolve all paths to absolute paths.,Encrypt all path strings before use.,20,1,,,,,,,,,,,,,,,,,,
205,What is the purpose of app.setAsDefaultProtocolClient() regarding security?,It registers your app to handle a custom protocol which requires careful validation of received URLs to prevent command injection.,It sets the default web browser for the user.,It establishes a secure communication protocol for IPC.,It ensures all external links are opened by your app.,20,1,,,,,,,,,,,,,,,,,,
206,What is the risk of using webPreferences.enableRemoteModule: true?,It allows arbitrary access to main process modules (like app dialog Menu) from the renderer greatly increasing the attack surface.,It causes the application to crash on startup.,It makes the app unresponsive.,It's only a performance concern.,20,1,,,,,,,,,,,,,,,,,,
207,To prevent JavaScript injection attacks when displaying dynamic content from a database in the renderer what should be done?,Sanitize all HTML content before injecting it into the DOM (e.g. using a DOMPurify-like library).,Display content directly without any sanitization.,Only use textContent instead of innerHTML.,Disable all CSS styles.,20,1,,,,,,,,,,,,,,,,,,
208,Why should you avoid enabling nodeIntegration in *all* renderer processes by default?,It gives every renderer process direct access to powerful Node.js APIs which can be exploited by malicious web content.,It complicates the development workflow.,It is only useful for debugging purposes.,It makes the application incompatible with certain web technologies.,20,1,,,,,,,,,,,,,,,,,,
209,What is a common security best practice for handling sensitive environment variables in Electron?,Load them in the main process and pass only necessary sanitized data to renderers via IPC.,Expose all environment variables to all renderer processes.,Store them directly in package.json.,Hardcode them in the source code.,20,1,,,,,,,,,,,,,,,,,,
210,If an Electron app uses localStorage for storing data what is a security consideration?,localStorage is not encrypted and can be accessed by other websites if webSecurity is disabled or compromised.,localStorage data is automatically synchronized to the cloud.,localStorage is only accessible from the main process.,localStorage is perfectly secure for sensitive data.,20,1,,,,,,,,,,,,,,,,,,
211,What is the purpose of app.disableHardwareAcceleration() from a security perspective?,It can mitigate potential vulnerabilities related to GPU-accelerated content especially when displaying untrusted content.,It makes the application run faster on older hardware.,It prevents the application from accessing network resources.,It ensures that all content is rendered in software mode.,20,1,,,,,,,,,,,,,,,,,,
212,When building Electron apps what is the importance of auditing npm dependencies?,To identify and mitigate known vulnerabilities in third-party libraries.,To reduce the number of dependencies.,To ensure all dependencies are open source.,To automatically update all dependencies.,20,1,,,,,,,,,,,,,,,,,,
213,What is the primary danger of deserializing untrusted JSON or JavaScript objects in an Electron app?,It can lead to arbitrary code execution if the deserializer is vulnerable (e.g. prototype pollution).,It only causes data corruption.,It slows down the application's startup time.,It makes the application incompatible with certain OS versions.,20,1,,,,,,,,,,,,,,,,,,
214,How can you ensure that a BrowserWindow always opens external URLs in the user's default browser not within a new Electron window?,By handling the new-window event on webContents and using shell.openExternal().,By setting nativeWindowOpen: false in webPreferences.,By disabling window.open() in the renderer.,Electron automatically opens all external URLs in the default browser.,20,1,,,,,,,,,,,,,,,,,,
215,Which tool is built into Electron for debugging renderer processes?,Chromium DevTools.,Node.js Debugger.,VS Code debugger.,Electron Inspector.,20,1,,,,,,,,,,,,,,,,,,
216,How do you open Chromium DevTools for a BrowserWindow from the main process?,win.webContents.openDevTools(),win.openDevTools(),app.openDevTools(),console.openDevTools(),20,1,,,,,,,,,,,,,,,,,,
217,To debug the main process of an Electron application using VS Code what file typically needs to be configured?,launch.json,settings.json,tasks.json,debug.config,20,1,,,,,,,,,,,,,,,,,,
218,What is 'hot-reloading' in the context of Electron development?,Updating code changes in the running application without a full reload preserving application state.,Automatically restarting the application after every change.,Compiling the entire application into an executable.,Debugging code in production.,20,1,,,,,,,,,,,,,,,,,,
219,Which tool or module can be used to automatically restart the main process and reload renderer processes on code changes?,electron-reloader or similar development tools.,npm watch,webpack-dev-server (by itself),gulp reload,20,1,,,,,,,,,,,,,,,,,,
220,How can you effectively log messages from both the main and renderer processes for debugging?,Use a logging library that writes to files from both processes or pipe renderer console.log to main.,Only use console.log in the main process.,Renderer logs are always visible in the main process console.,Only log errors not regular messages.,20,1,,,,,,,,,,,,,,,,,,
221,What is the purpose of source maps in Electron development?,To map transpiled or minified code back to the original source code for easier debugging.,To create a visual representation of the application's architecture.,To optimize application startup time.,To encrypt the application's source code.,20,1,,,,,,,,,,,,,,,,,,
222,Which testing framework is specifically designed for testing Electron applications with a focus on end-to-end testing?,Spectron (or Playwright/Cypress for web content).,Jest (unit testing),Mocha (general JS testing),Selenium (web browser automation),20,1,,,,,,,,,,,,,,,,,,
223,How do you pause execution and inspect variables in the main process using VS Code?,By setting breakpoints in the main process's JavaScript files.,By using debugger; statement in the renderer.,Main process cannot be debugged.,By manually logging all variable values to the console.,20,1,,,,,,,,,,,,,,,,,,
224,What command is commonly used to install project dependencies during development?,npm install or yarn install,npm build,npm start,npm test,20,1,,,,,,,,,,,,,,,,,,
225,When debugging a preload script where would you typically set breakpoints?,In the preload.js file which can be debugged as part of the renderer process (often with webContents.openDevTools({ mode: 'undocked' })).,In the main process's launch.json.,Preload scripts cannot be debugged.,Directly in the BrowserWindow constructor.,20,1,,,,,,,,,,,,,,,,,,
226,What is a common technique for performance profiling an Electron renderer process?,Using the 'Performance' tab in Chromium DevTools.,Running npm audit on the project.,Monitoring CPU usage from the OS task manager.,Using Node.js built-in profiler.,20,1,,,,,,,,,,,,,,,,,,
227,Which VS Code launch.json configuration type is typically used for debugging the Electron main process?,'node' or a custom Electron configuration.,'chrome','javascript','web',20,1,,,,,,,,,,,,,,,,,,
228,What is the purpose of electron-debug?,To enhance the development experience with features like automatic DevTools opening reload shortcuts and crash reporting.,To debug the Electron framework itself.,To automatically fix bugs in the application.,To optimize application startup time.,20,1,,,,,,,,,,,,,,,,,,
229,How can you ensure consistent Node.js versions across development environments for an Electron project?,Using Node Version Manager (NVM) or specifying engines.node in package.json with a tool like nvmrc.,Electron automatically manages Node.js versions.,By manually installing the latest Node.js version.,It's not critical for development workflow.,20,1,,,,,,,,,,,,,,,,,,
230,Which type of testing would Spectron primarily be used for?,End-to-end (E2E) testing of the entire Electron application UI and functionality.,Unit testing individual functions.,Integration testing between modules.,Performance testing of rendering speed.,20,1,,,,,,,,,,,,,,,,,,
231,What is a common problem when debugging IPC issues?,Mismatched channel names incorrect arguments or listeners not being attached/removed correctly.,IPC calls are always perfectly reliable.,Debugging IPC is the easiest part of Electron development.,IPC only fails due to network issues.,20,1,,,,,,,,,,,,,,,,,,
232,How would you attach the VS Code debugger to an already running Electron main process?,By configuring a 'Attach to Process' launch configuration in launch.json and selecting the Node.js process.,It's not possible to attach to a running process.,The debugger automatically attaches when Electron starts.,By using the debugger; statement.,20,1,,,,,,,,,,,,,,,,,,
233,What is the role of webpack in an Electron development workflow?,To bundle transpile and optimize JavaScript CSS and other assets for both main and renderer processes.,To create native installers for the application.,To manage Node.js versions.,To serve as the Electron main process entry point.,20,1,,,,,,,,,,,,,,,,,,
234,When logging from the renderer process where do console.log messages appear by default?,In the Chromium DevTools console for that specific renderer window.,In the main process console.,In a separate log file on the file system.,They are suppressed by default.,20,1,,,,,,,,,,,,,,,,,,
235,What is a common challenge when setting up hot-reloading for an Electron main process?,Changes to the main process often require a full restart of the Electron application making true hot-reloading difficult.,Hot-reloading is always straightforward for the main process.,Only CSS changes can be hot-reloaded in the main process.,Hot-reloading is a renderer-only concept.,20,1,,,,,,,,,,,,,,,,,,
236,Which BrowserWindow event could be useful for logging when a window loses focus?,'blur','unfocus','inactive','hide',20,1,,,,,,,,,,,,,,,,,,
237,How can you enable verbose logging for Electron's internal processes?,By passing command-line arguments like --enable-logging or setting process.env.ELECTRON_ENABLE_LOGGING.,By setting app.enableVerboseLogging() in the main process.,Electron does not support verbose internal logging.,By increasing the Node.js verbosity level.,20,1,,,,,,,,,,,,,,,,,,
238,What is the benefit of integrating automated testing (e.g. with Jest for unit tests) into your Electron development workflow?,To ensure code quality catch regressions early and speed up the development cycle.,Automated testing automatically fixes bugs.,It's only useful for large enterprise applications.,Automated testing replaces manual testing entirely.,20,1,,,,,,,,,,,,,,,,,,
239,What is the purpose of the DEBUG_PROD environment variable often used with Electron applications?,To enable debugging utilities (like DevTools or console logging) even in production builds.,To enable production-specific optimizations.,To disable all debugging features.,To switch the application to a dark theme.,20,1,,,,,,,,,,,,,,,,,,
240,When profiling memory usage in Electron which tools are most relevant?,Chromium DevTools' 'Memory' tab for renderers and Node.js built-in profiler or heapdump for the main process.,Only the OS task manager.,npm install memory-profiler.,Electron has no built-in memory profiling tools.,20,1,,,,,,,,,,,,,,,,,,
241,How do you force a BrowserWindow to reload its content from the main process?,win.webContents.reload() or win.webContents.reloadIgnoringCache().,win.reload(),app.reloadWindow(win),win.webContents.refresh(),20,1,,,,,,,,,,,,,,,,,,
242,What is a benefit of using yarn over npm in a development environment?,Potentially faster dependency installation and more consistent builds due to yarn.lock (though npm now also has package-lock.json).,yarn is incompatible with Electron.,yarn installs fewer dependencies.,yarn has a built-in debugger.,20,1,,,,,,,,,,,,,,,,,,
243,What happens if you run electron-builder in debug mode?,It typically produces unminified code and sometimes extra logs aiding in debugging packaged apps.,It automatically opens DevTools when the packaged app launches.,It only builds the application without packaging.,It runs a debugger in the console.,20,1,,,,,,,,,,,,,,,,,,
244,When debugging crashes in an Electron application what is a crucial first step?,Check the application's logs (if implemented) and the operating system's crash logs.,Reinstall Node.js.,Assume it's an Electron framework bug.,Restart the computer.,20,1,,,,,,,,,,,,,,,,,,
245,What does the webContents.isDevToolsOpened() method tell you?,Whether the developer tools are currently open for that specific BrowserWindow.,Whether the application is running in development mode.,Whether the Electron framework's internal tools are active.,Whether the debugger is attached to the main process.,20,1,,,,,,,,,,,,,,,,,,
246,What is a common strategy for splitting code into smaller manageable chunks for better performance and debugging?,Using module bundlers like Webpack or Rollup for code splitting and lazy loading.,Writing all code in a single file.,Avoiding external libraries.,Only using synchronous code execution.,20,1,,,,,,,,,,,,,,,,,,
247,How do you configure an Electron app to run with specific Chromium flags during development?,By passing flags to the electron executable (e.g. electron --enable-features=WebMIDI .) or via app.commandLine.appendSwitch().,By modifying the Chromium source code.,By setting environment variables only.,Electron does not support custom Chromium flags.,20,1,,,,,,,,,,,,,,,,,,
248,Which module allows you to track and report application crashes to a remote service?,crashReporter module.,errorMonitor,app.crashLogger,bugTracker,20,1,,,,,,,,,,,,,,,,,,
249,What is the purpose of the NODE_ENV environment variable in an Electron development setup?,To differentiate between development and production environments often for conditional code execution (e.g. debugging features).,To specify the Node.js version.,To define the application's main entry point.,To configure network proxy settings.,20,1,,,,,,,,,,,,,,,,,,
